	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
13.00	1624.10	13.64	0.60	3.80	36.45	10.68	0.03	255.00	0.00	0.43	1.80	0.40	-1.00	0.00	0.00	-25.35	88.10	
14.00	1667.50	10.39	1.50	2.20	22.28	11.06	0.28	0.00	0.00	1.26	1.90	0.80	-1.00	0.00	0.00	-6.60	3.50	
15.00	1743.80	7.32	3.10	1.20	11.95	11.53	-0.82	0.00	0.00	1.87	0.38	0.20	-1.00	0.00	0.00	-3.13	79.80	
16.00	1815.00	20.14	1.30	3.00	51.33	11.07	0.64	0.00	0.00	0.89	2.27	0.50	-1.00	0.00	0.00	-18.04	23.00	
17.00	2323.20	36.70	1.10	3.20	96.54	10.92	-0.26	0.00	0.00	0.51	2.77	0.90	-1.00	0.00	0.00	-57.12	19.20	
18.00	2361.10	6.20	1.70	1.80	11.59	10.43	0.35	0.00	0.00	1.48	0.64	0.30	-1.00	0.00	0.00	-3.35	57.10	
19.00	2366.50	8.11	0.70	1.40	11.09	8.32	-0.19	0.00	0.00	0.55	1.29	0.60	-1.00	0.00	0.00	-11.73	11.30	
20.00	2469.20	9.17	0.80	1.40	12.41	10.11	-0.34	0.00	0.00	0.72	1.71	0.60	-1.00	0.00	0.00	-10.24	37.20	
21.00	2599.80	17.00	1.20	2.60	37.50	10.75	-0.41	0.00	0.00	0.47	2.46	0.40	-1.00	0.00	0.00	-28.87	39.80	
22.00	2843.40	6.17	1.50	1.00	10.03	11.95	-0.35	0.00	0.00	1.21	2.00	1.30	-1.00	0.00	0.00	-4.06	27.40	
23.00	3327.00	14.68	0.60	1.90	24.23	7.73	1.02	0.00	0.00	0.38	1.64	0.40	-1.00	0.00	0.00	-30.75	127.00	
24.00	3434.80	11.37	0.90	1.90	18.33	11.01	-0.22	0.00	0.00	0.63	1.48	0.40	-1.00	0.00	0.00	-14.55	106.80	
25.00	3621.50	13.92	0.50	2.00	20.23	10.04	-0.71	0.00	0.00	0.33	1.51	0.30	-1.00	0.00	0.00	-33.66	37.50	
26.00	3904.90	15.11	1.80	3.00	36.92	10.01	-0.24	0.00	0.00	0.35	2.24	0.40	-1.00	0.00	0.00	-34.45	64.90	
27.00	3910.70	19.88	7.60	4.20	103.33	10.10	1.40	255.00	0.00	6.18	2.22	0.50	-1.00	0.00	0.00	-2.57	70.70	
28.00	4105.00	10.45	0.70	4.00	33.53	10.97	0.41	0.00	0.00	0.50	4.07	0.60	-1.00	0.00	0.00	-16.77	85.80	
29.00	4319.70	6.09	0.90	5.30	25.68	12.07	-1.92	0.00	0.00	0.71	2.79	0.60	-1.00	0.00	0.00	-6.87	95.70	
30.00	4558.60	23.37	1.00	2.50	46.11	10.42	-1.13	0.00	0.00	0.55	1.94	0.60	-1.00	0.00	0.00	-34.14	78.60	
31.00	4637.60	8.43	0.50	2.40	16.59	6.57	4.30	0.00	0.00	0.35	2.20	0.40	-1.00	0.00	0.00	-19.46	29.60	
32.00	4678.00	8.32	3.00	0.80	15.33	9.09	1.29	0.00	0.00	1.89	1.89	1.20	-1.00	0.00	0.00	-3.52	70.00	
33.00	4776.80	20.53	1.40	3.80	54.01	9.45	0.43	0.00	0.00	0.47	2.16	0.50	-1.00	0.00	0.00	-35.25	40.80	
34.00	4799.30	11.05	1.00	2.50	23.39	6.70	0.66	0.00	0.00	0.79	1.27	0.60	-1.00	0.00	0.00	-11.13	63.30	
35.00	4812.60	6.31	0.90	0.90	4.60	5.47	-1.26	0.00	0.00	0.35	0.46	0.30	-1.00	0.00	0.00	-14.51	76.60	
36.00	4848.80	6.20	1.70	1.60	9.77	7.84	1.35	0.00	0.00	1.32	1.11	0.20	-1.00	0.00	0.00	-3.75	112.80	
37.00	4889.20	6.36	1.10	0.40	4.40	7.51	0.52	0.00	0.00	0.58	0.66	0.50	-1.00	0.00	0.00	-8.70	25.20	
38.00	4997.00	6.27	0.90	1.60	8.36	9.91	-0.39	0.00	0.00	0.73	0.82	0.50	-1.00	0.00	0.00	-6.88	5.00	
39.00	5041.40	6.39	0.70	0.90	5.42	9.84	1.32	0.00	0.00	0.63	0.42	0.20	-1.00	0.00	0.00	-8.14	49.40	
40.00	5056.60	12.42	0.80	2.80	25.86	9.99	-0.84	0.00	0.00	0.49	1.24	0.50	-1.00	0.00	0.00	-20.09	64.60	
41.00	5073.60	9.24	0.80	4.60	30.92	9.66	-0.18	0.00	0.00	0.50	2.76	0.60	-1.00	0.00	0.00	-14.79	81.60	
42.00	5127.80	6.39	1.20	2.00	10.24	9.45	2.01	0.00	0.00	0.72	1.22	0.20	-1.00	0.00	0.00	-7.06	84.60	
43.00	5314.30	7.44	1.10	0.90	10.51	9.94	-0.10	0.00	0.00	0.81	1.48	1.00	-1.00	0.00	0.00	-7.39	66.30	
44.00	5399.70	16.65	0.60	3.80	47.71	9.93	-0.19	0.00	0.00	0.34	2.91	0.50	-1.00	0.00	0.00	-38.71	23.70	
45.00	5500.10	6.89	1.40	0.80	6.79	10.49	-0.39	0.00	0.00	0.92	0.78	0.50	-1.00	0.00	0.00	-6.01	124.10	
46.00	6013.20	12.27	4.00	2.00	33.41	11.51	-0.57	0.00	0.00	3.24	2.20	0.80	-1.00	0.00	0.00	-3.03	125.20	
47.00	6213.80	7.02	0.70	0.80	4.80	11.17	1.98	0.00	0.00	0.54	0.44	0.40	-1.00	0.00	0.00	-10.35	69.80	
48.00	6436.90	10.41	1.10	1.80	19.49	9.81	1.64	0.00	0.00	0.96	2.35	0.90	-1.00	0.00	0.00	-8.64	36.90	
49.00	6459.90	7.28	1.70	1.00	8.87	9.23	-1.11	0.00	0.00	1.55	0.43	0.30	-1.00	0.00	0.00	-3.75	59.90	
50.00	6526.10	9.21	1.40	1.20	13.22	9.80	1.15	0.00	0.00	1.16	1.58	1.10	-1.00	0.00	0.00	-6.34	126.10	
51.00	6582.80	6.81	2.70	1.10	12.80	10.16	2.23	0.00	0.00	1.97	1.17	0.50	-1.00	0.00	0.00	-2.77	54.80	
52.00	6666.20	15.35	0.90	2.50	31.46	9.49	0.44	0.00	0.00	0.49	1.89	0.70	-1.00	0.00	0.00	-25.16	10.20	
53.00	6752.70	12.03	1.00	2.00	23.88	9.84	-0.21	0.00	0.00	0.86	1.96	0.60	-1.00	0.00	0.00	-11.20	96.70	
54.00	7634.60	13.35	0.90	2.00	25.02	7.77	0.58	0.00	0.00	0.69	1.67	0.80	-1.00	0.00	0.00	-15.56	82.60	
55.00	7708.30	6.13	1.70	2.00	11.83	11.13	-0.15	0.00	0.00	1.48	0.93	0.50	-1.00	0.00	0.00	-3.31	28.30	
56.00	7806.30	7.58	1.10	0.80	8.73	11.29	-1.94	0.00	0.00	0.85	1.29	0.70	-1.00	0.00	0.00	-7.17	126.30	
57.00	8213.70	9.16	0.80	2.40	18.03	10.95	0.57	0.00	0.00	0.64	1.44	0.30	-1.00	0.00	0.00	-11.46	21.70	
58.00	8254.60	13.28	0.80	2.00	25.32	10.22	-0.43	0.00	0.00	0.45	2.27	0.60	-1.00	0.00	0.00	-23.88	62.60	
59.00	8466.60	9.36	0.90	2.50	22.05	10.50	1.20	0.00	0.00	0.68	2.61	0.40	-1.00	0.00	0.00	-11.05	18.60	
60.00	8723.20	11.43	2.60	2.30	25.13	10.93	-0.56	0.00	0.00	0.62	1.72	0.50	-1.00	0.00	0.00	-14.81	19.20	
61.00	8813.70	11.52	0.70	2.00	18.71	10.88	0.45	0.00	0.00	0.43	1.26	0.50	-1.00	0.00	0.00	-21.24	109.70	
62.00	8832.30	13.50	2.20	1.90	23.85	10.68	-0.01	0.00	0.00	0.40	1.58	0.40	-1.00	0.00	0.00	-26.98	51.50	
63.00	8872.90	7.69	1.00	1.00	9.27	10.26	0.74	0.00	0.00	0.86	1.30	0.50	-1.00	0.00	0.00	-7.18	40.90	
64.00	8881.70	6.42	1.50	0.70	6.86	10.53	-1.25	0.00	0.00	1.10	1.12	0.50	-1.00	0.00	0.00	-4.68	49.70	
65.00	9007.60	6.32	0.60	4.60	22.96	10.03	-0.19	0.00	0.00	0.40	2.75	0.30	-1.00	0.00	0.00	-12.65	47.60	
66.00	9104.70	12.60	1.30	1.60	20.88	10.27	1.42	0.00	0.00	1.06	1.58	0.90	-1.00	0.00	0.00	-9.55	16.70	
67.00	9117.70	10.40	0.60	1.30	14.08	7.49	-0.34	0.00	0.00	0.47	1.56	0.50	-1.00	0.00	0.00	-17.74	29.70	
68.00	9373.30	17.79	2.70	3.30	54.81	10.52	1.33	0.00	0.00	0.77	3.13	0.70	-1.00	0.00	0.00	-18.52	29.30	
69.00	9412.70	11.90	0.70	4.30	34.43	10.61	0.69	0.00	0.00	0.49	2.28	0.50	-1.00	0.00	0.00	-19.61	68.70	
70.00	9585.00	14.71	0.80	3.60	42.41	11.66	2.13	0.00	0.00	0.36	2.63	0.60	-1.00	0.00	0.00	-32.30	113.00	
71.00	9597.80	23.32	0.90	3.40	64.35	9.20	0.13	0.00	0.00	0.42	2.54	0.70	-1.00	0.00	0.00	-44.53	125.80	
72.00	9660.40	13.30	0.80	1.80	19.35	9.69	0.40	0.00	0.00	0.54	1.58	0.50	-1.00	0.00	0.00	-19.81	9.20	
73.00	9676.90	26.85	1.20	3.90	84.18	8.60	-2.12	0.00	0.00	0.74	3.17	0.90	-1.00	0.00	0.00	-28.89	76.90	
74.00	9766.40	6.53	1.80	1.50	8.94	10.33	-0.59	0.00	0.00	1.67	0.60	0.40	-1.00	0.00	0.00	-3.12	38.40	
75.00	9781.50	6.12	0.60	2.00	9.67	8.13	0.64	0.00	0.00	0.42	1.74	0.20	-1.00	0.00	0.00	-11.64	53.50	
76.00	9802.90	12.81	0.60	3.10	30.83	11.46	0.26	0.00	0.00	0.46	2.29	0.40	-1.00	0.00	0.00	-22.49	74.90	
77.00	9884.40	6.75	3.30	1.70	15.17	9.62	-1.06	0.00	0.00	2.10	1.40	0.40	-1.00	0.00	0.00	-2.57	28.40	
78.00	9902.10	8.77	0.60	2.80	17.70	10.36	1.32	0.00	0.00	0.38	1.40	0.30	-1.00	0.00	0.00	-18.28	46.10	
79.00	9918.90	9.93	0.80	1.30	11.86	9.32	0.02	0.00	0.00	0.57	1.25	0.50	-1.00	0.00	0.00	-13.85	62.90	
80.00	9980.50	6.94	0.40	0.50	4.01	10.14	0.99	0.00	0.00	0.30	0.56	0.30	-1.00	0.00	0.00	-18.77	124.50	
81.00	10086.80	19.18	0.80	2.10	34.67	11.64	0.46	0.00	0.00	0.52	1.89	0.60	-1.00	0.00	0.00	-29.41	102.80	
82.00	10130.40	6.28	0.80	1.20	6.87	10.33	0.06	0.00	0.00	0.61	0.88	0.30	-1.00	0.00	0.00	-8.18	18.40	
83.00	10174.10	13.81	1.10	1.90	29.44	10.28	1.27	0.00	0.00	0.78	2.27	0.90	-1.00	0.00	0.00	-14.20	36.50	
84.00	10233.50	13.28	1.10	2.80	27.92	9.81	0.64	0.00	0.00	0.82	1.40	0.80	-1.00	0.00	0.00	-12.98	95.90	
85.00	10475.40	14.08	0.60	1.90	23.34	9.50	-0.46	0.00	0.00	0.43	1.78	0.30	-1.00	0.00	0.00	-26.10	107.40	
86.00	10604.20	12.29	0.90	3.20	33.45	9.97	0.26	0.00	0.00	0.54	3.04	0.60	-1.00	0.00	0.00	-18.21	108.20	
87.00	10613.70	9.04	10.40	0.80	66.76	10.78	-0.55	255.00	0.00	3.14	0.97	0.70	-1.00	0.00	0.00	-2.30	117.70	
88.00	10702.10	7.62	2.10	1.00	12.08	12.96	-1.12	0.00	0.00	1.34	1.12	0.70	-1.00	0.00	0.00	-4.55	78.10	
89.00	11182.20	22.16	2.00	2.70	53.83	10.90	1.45	0.00	0.00	1.21	2.09	0.70	-1.00	0.00	0.00	-14.63	46.20	
90.00	11215.90	6.91	1.10	1.10	8.53	8.07	-1.22	0.00	0.00	0.96	1.16	0.90	-1.00	0.00	0.00	-5.74	79.90	
91.00	11218.40	13.33	3.80	4.70	65.28	11.07	1.53	255.00	0.00	3.46	4.08	1.00	-1.00	0.00	0.00	-3.09	82.40	
92.00	11405.90	7.43	2.70	0.40	11.75	10.90	0.79	0.00	0.00	1.53	0.51	0.30	-1.00	0.00	0.00	-3.88	13.90	
93.00	11474.60	7.22	0.70	1.20	8.45	8.89	1.11	0.00	0.00	0.54	1.19	0.30	-1.00	0.00	0.00	-10.63	82.60	
94.00	11521.90	15.35	1.00	2.40	35.33	10.21	1.27	0.00	0.00	0.73	2.89	0.90	-1.00	0.00	0.00	-16.83	1.90	
95.00	11530.40	7.67	1.70	1.10	9.01	7.90	-1.29	0.00	0.00	0.84	0.86	0.60	-1.00	0.00	0.00	-7.27	10.40	
96.00	11578.60	6.45	2.50	0.80	11.04	10.05	1.21	0.00	0.00	2.37	0.95	0.60	-1.00	0.00	0.00	-2.18	58.60	
97.00	11598.70	11.78	0.90	2.20	20.57	11.26	0.29	0.00	0.00	0.56	1.71	0.50	-1.00	0.00	0.00	-16.84	78.70	
98.00	11680.60	6.15	1.20	1.20	7.43	11.62	1.00	0.00	0.00	1.03	0.55	0.30	-1.00	0.00	0.00	-4.79	7.00	
99.00	11687.40	7.54	3.00	1.70	20.12	12.19	-2.31	0.00	0.00	2.67	2.84	1.40	-1.00	0.00	0.00	-2.26	39.40	
100.00	11698.40	7.25	2.70	5.00	30.11	11.31	-1.94	0.00	0.00	2.40	1.70	0.90	-1.00	0.00	0.00	-2.41	50.40	
101.00	11744.50	22.50	0.70	2.90	50.40	11.35	0.54	0.00	0.00	0.43	2.11	0.50	-1.00	0.00	0.00	-41.53	96.50	
102.00	11792.10	8.01	0.80	1.00	9.70	9.34	-0.60	0.00	0.00	0.53	1.27	0.60	-1.00	0.00	0.00	-12.11	16.10	
103.00	11814.60	6.37	1.50	0.80	5.99	9.92	-1.25	0.00	0.00	0.33	0.44	0.20	-1.00	0.00	0.00	-15.62	38.60	
104.00	12033.30	17.96	1.20	2.30	34.32	10.04	0.42	0.00	0.00	0.97	1.86	0.70	-1.00	0.00	0.00	-14.88	1.30	
105.00	12052.00	6.58	1.20	1.60	9.75	11.07	0.10	0.00	0.00	1.05	0.73	0.30	-1.00	0.00	0.00	-5.02	20.00	
106.00	12117.60	10.32	1.10	2.10	20.01	11.00	-1.86	0.00	0.00	0.58	1.65	0.60	-1.00	0.00	0.00	-14.30	85.60	
107.00	12267.20	14.37	0.60	1.90	24.05	11.14	2.05	0.00	0.00	0.47	2.16	0.40	-1.00	0.00	0.00	-24.57	107.20	
108.00	12458.30	20.94	1.00	3.00	49.74	10.27	1.19	0.00	0.00	0.52	1.99	0.50	-1.00	0.00	0.00	-32.50	42.30	
109.00	12491.00	6.72	0.60	1.30	8.24	7.26	-2.38	0.00	0.00	0.33	1.07	0.40	-1.00	0.00	0.00	-16.12	75.00	
110.00	12566.70	6.47	2.60	1.80	16.24	9.95	-0.06	0.00	0.00	2.45	1.94	1.20	-1.00	0.00	0.00	-2.11	22.70	
111.00	12639.50	8.20	4.60	0.90	16.05	10.70	-0.97	0.00	0.00	2.13	0.77	0.30	-1.00	0.00	0.00	-3.08	95.50	
112.00	12643.30	11.46	0.50	1.50	15.81	8.26	1.73	0.00	0.00	0.32	1.28	0.40	-1.00	0.00	0.00	-28.80	99.30	
113.00	12653.10	7.39	2.40	2.60	20.13	10.75	-0.26	0.00	0.00	1.64	2.83	1.50	-1.00	0.00	0.00	-3.60	109.10	
114.00	12687.20	12.35	1.10	1.40	17.60	11.12	0.43	0.00	0.00	0.86	1.45	0.60	-1.00	0.00	0.00	-11.44	15.20	
115.00	12838.60	11.29	1.40	6.10	55.18	12.33	1.25	0.00	0.00	0.89	2.38	0.90	-1.00	0.00	0.00	-10.10	38.60	
116.00	12841.50	10.83	4.00	1.40	40.00	11.05	0.78	255.00	0.00	3.53	1.74	1.20	-1.00	0.00	0.00	-2.45	41.50	
117.00	12899.50	7.10	3.70	1.80	21.45	10.92	-0.17	0.00	0.00	2.87	3.18	1.60	-1.00	0.00	0.00	-1.98	99.50	
118.00	12942.00	10.37	0.70	1.50	14.31	11.52	-1.69	0.00	0.00	0.43	1.32	0.40	-1.00	0.00	0.00	-19.31	14.00	
119.00	12942.80	8.00	1.50	2.70	22.88	11.63	0.10	0.00	0.00	0.34	1.81	1.30	-1.00	0.00	0.00	-18.71	14.80	
120.00	13013.70	9.29	0.90	1.50	13.42	12.10	1.53	0.00	0.00	0.72	1.80	0.70	-1.00	0.00	0.00	-10.26	85.70	
121.00	13028.10	16.16	1.10	2.80	38.13	10.43	-0.48	0.00	0.00	0.84	2.03	0.90	-1.00	0.00	0.00	-15.31	100.10	
122.00	13172.60	10.46	1.30	1.80	22.98	10.89	-0.36	0.00	0.00	1.15	2.23	1.10	-1.00	0.00	0.00	-7.27	116.60	
123.00	13176.00	7.25	4.70	2.50	36.85	10.07	0.02	255.00	0.00	1.41	1.24	0.90	-1.00	0.00	0.00	-4.12	120.00	
124.00	13444.90	12.69	2.00	4.40	39.54	11.78	0.47	0.00	0.00	0.80	1.40	0.70	-1.00	0.00	0.00	-12.65	4.90	
125.00	13521.30	7.09	6.30	0.30	23.61	11.37	0.89	0.00	0.00	5.76	2.24	2.10	-1.00	0.00	0.00	-0.99	81.30	
126.00	13547.20	7.64	1.70	1.80	14.61	10.70	-0.59	0.00	0.00	1.48	1.03	0.90	-1.00	0.00	0.00	-4.12	107.20	
127.00	13575.10	16.76	0.70	3.20	40.67	9.85	-1.43	0.00	0.00	0.27	2.14	0.50	-1.00	0.00	0.00	-49.02	7.10	
128.00	13592.80	6.07	6.00	0.60	17.16	10.26	-0.21	0.00	0.00	3.45	0.61	0.40	-1.00	0.00	0.00	-1.41	24.80	
129.00	13620.40	7.39	1.00	1.10	8.95	10.74	0.60	0.00	0.00	0.83	1.03	0.80	-1.00	0.00	0.00	-7.09	52.40	
130.00	13802.40	7.33	1.50	1.60	12.70	11.20	-0.71	0.00	0.00	1.05	1.83	0.50	-1.00	0.00	0.00	-5.57	106.40	
131.00	13845.00	8.51	0.70	3.50	23.48	11.08	-0.25	0.00	0.00	0.52	1.69	0.50	-1.00	0.00	0.00	-13.19	21.00	
132.00	13847.80	8.22	3.50	0.70	22.45	10.83	0.60	255.00	0.00	3.27	0.68	0.40	-1.00	0.00	0.00	-2.01	23.80	
133.00	14038.90	20.31	1.90	2.70	52.46	11.37	-0.21	0.00	0.00	1.39	2.36	0.90	-1.00	0.00	0.00	-11.67	86.90	
134.00	14223.80	18.10	0.70	4.40	53.56	11.33	0.56	0.00	0.00	0.43	2.56	0.40	-1.00	0.00	0.00	-33.85	15.80	
135.00	14345.70	40.99	0.90	3.70	105.35	10.79	0.81	0.00	0.00	0.51	2.26	0.50	-1.00	0.00	0.00	-64.53	9.70	
136.00	14362.60	18.63	17.80	3.70	251.87	10.93	0.10	255.00	0.00	17.34	2.49	0.80	-1.00	0.00	0.00	-0.86	26.60	
137.00	15138.50	11.05	0.40	1.90	17.33	8.84	1.64	0.00	0.00	0.28	1.65	0.30	-1.00	0.00	0.00	-32.14	34.50	
138.00	15320.50	12.27	0.40	1.30	13.67	10.89	1.50	0.00	0.00	0.25	1.22	0.30	-1.00	0.00	0.00	-38.86	216.50	
139.00	15323.60	8.90	3.60	1.10	28.91	11.33	-1.52	255.00	0.00	3.41	1.53	1.00	-1.00	0.00	0.00	-2.09	66.00	
140.00	15393.00	7.83	7.70	2.00	37.65	10.96	1.32	0.00	0.00	6.28	1.66	0.40	-1.00	0.00	0.00	-1.00	33.00	
141.00	15448.30	6.37	2.50	1.40	14.04	10.06	-1.67	0.00	0.00	2.35	1.49	0.40	-1.00	0.00	0.00	-2.16	88.30	
142.00	15463.50	16.21	0.80	1.60	24.61	9.56	0.40	0.00	0.00	0.60	1.51	0.60	-1.00	0.00	0.00	-21.44	103.50	
143.00	15478.20	46.36	1.90	3.10	119.60	9.45	-0.18	0.00	0.00	0.54	2.31	0.90	-1.00	0.00	0.00	-68.44	118.20	
144.00	15490.60	19.50	13.50	8.50	284.36	8.08	0.79	255.00	0.00	13.35	3.66	1.00	-1.00	0.00	0.00	-1.17	28.20	
145.00	15649.90	8.18	0.40	2.70	16.69	9.61	-0.13	0.00	0.00	0.27	2.31	0.30	-1.00	0.00	0.00	-24.50	33.90	
146.00	15759.20	14.31	1.10	1.90	24.97	10.41	0.87	0.00	0.00	0.44	1.98	0.50	-1.00	0.00	0.00	-26.29	15.20	
147.00	15775.60	9.67	0.70	1.60	15.31	8.15	-0.28	0.00	0.00	0.57	1.71	0.60	-1.00	0.00	0.00	-13.59	31.60	
148.00	15782.20	6.49	7.30	1.70	36.58	8.28	0.64	255.00	0.00	2.00	1.14	0.30	-1.00	0.00	0.00	-2.60	12.60	
149.00	15879.60	10.66	2.60	9.10	117.24	11.42	-0.59	0.00	0.00	2.40	9.56	1.80	-1.00	0.00	0.00	-3.55	7.60	
150.00	15882.10	23.86	5.10	4.70	103.47	11.22	0.53	255.00	0.00	4.43	2.88	0.60	-1.00	0.00	0.00	-4.31	10.10	
151.00	15969.20	13.52	0.90	2.10	22.30	9.14	-0.96	0.00	0.00	0.61	1.44	0.50	-1.00	0.00	0.00	-17.75	97.20	
152.00	16217.30	17.80	1.20	1.90	28.28	11.14	-0.18	0.00	0.00	0.56	1.56	0.60	-1.00	0.00	0.00	-25.46	89.30	
153.00	16269.70	6.58	1.10	1.00	5.80	9.61	0.68	0.00	0.00	0.55	0.61	0.30	-1.00	0.00	0.00	-9.52	13.70	
154.00	16419.50	6.60	1.00	2.30	12.92	11.73	0.24	0.00	0.00	0.76	1.41	0.70	-1.00	0.00	0.00	-6.92	35.50	
155.00	16585.40	6.62	1.80	0.80	10.13	9.81	0.43	0.00	0.00	1.59	1.11	0.50	-1.00	0.00	0.00	-3.34	73.40	
156.00	16602.70	8.87	1.90	1.50	15.60	9.99	0.21	0.00	0.00	1.13	1.58	1.00	-1.00	0.00	0.00	-6.28	90.70	
157.00	16684.60	7.32	0.70	3.70	18.19	11.66	0.46	0.00	0.00	0.47	1.64	0.30	-1.00	0.00	0.00	-12.53	44.60	
158.00	17067.80	10.83	0.80	1.70	15.96	11.87	-1.03	0.00	0.00	0.52	1.47	0.60	-1.00	0.00	0.00	-16.78	43.80	
159.00	17725.60	6.55	1.00	1.50	9.91	12.32	-0.01	0.00	0.00	0.87	1.42	0.60	-1.00	0.00	0.00	-5.99	61.60	
160.00	17895.10	13.40	3.70	2.10	34.76	13.04	1.60	0.00	0.00	2.66	2.60	0.70	-1.00	0.00	0.00	-4.03	26.30	
161.00	17978.10	9.20	0.80	1.50	13.22	11.51	0.24	0.00	0.00	0.54	1.42	0.50	-1.00	0.00	0.00	-13.54	58.10	
162.00	18027.60	24.14	1.60	1.60	50.70	10.19	-0.06	0.00	0.00	1.33	2.20	1.30	-1.00	0.00	0.00	-14.54	107.60	
163.00	18053.20	6.48	1.70	0.60	6.93	9.61	2.37	0.00	0.00	1.37	0.68	0.40	-1.00	0.00	0.00	-3.79	5.20	
164.00	18144.00	15.40	1.70	1.40	25.64	11.10	0.35	0.00	0.00	0.43	1.64	0.80	-1.00	0.00	0.00	-28.77	96.00	
165.00	18240.40	25.80	0.90	2.40	51.64	11.07	0.20	0.00	0.00	0.46	1.94	0.60	-1.00	0.00	0.00	-45.33	64.40	
166.00	18246.90	10.53	11.00	5.40	109.68	11.41	-0.02	255.00	0.00	1.11	1.72	0.50	-1.00	0.00	0.00	-7.59	19.70	
167.00	18493.30	6.49	2.60	1.30	11.30	12.38	-1.07	0.00	0.00	2.37	1.29	0.40	-1.00	0.00	0.00	-2.19	61.30	
168.00	18524.10	7.61	1.10	1.50	12.10	12.05	-0.95	0.00	0.00	0.94	1.39	0.50	-1.00	0.00	0.00	-6.48	92.10	
169.00	18549.90	10.96	0.90	1.90	17.46	11.66	1.64	0.00	0.00	0.65	1.72	0.70	-1.00	0.00	0.00	-13.56	15.50	
170.00	18725.10	24.82	1.10	3.70	75.15	9.92	1.07	0.00	0.00	0.41	2.62	0.90	-1.00	0.00	0.00	-48.89	62.70	
171.00	18755.20	10.63	0.80	1.90	16.46	8.04	-0.03	0.00	0.00	0.53	1.32	0.40	-1.00	0.00	0.00	-16.09	92.80	
172.00	18809.30	18.21	0.90	4.20	57.27	8.77	1.00	0.00	0.00	0.50	3.18	0.60	-1.00	0.00	0.00	-29.37	18.90	
173.00	18870.20	14.89	0.70	1.40	18.91	10.00	-2.65	0.00	0.00	0.44	1.09	0.50	-1.00	0.00	0.00	-27.07	79.80	
174.00	18936.30	7.90	1.90	2.30	20.77	11.71	0.27	0.00	0.00	1.68	1.95	1.50	-1.00	0.00	0.00	-3.77	17.90	
175.00	19244.40	16.58	1.00	2.50	33.55	11.17	0.43	0.00	0.00	0.52	1.96	0.40	-1.00	0.00	0.00	-25.42	70.00	
176.00	19386.40	6.91	1.70	1.30	9.84	12.59	1.67	0.00	0.00	1.47	0.73	0.30	-1.00	0.00	0.00	-3.77	84.00	
177.00	19442.50	19.08	0.80	3.00	43.88	11.99	1.68	0.00	0.00	0.46	2.02	0.50	-1.00	0.00	0.00	-33.16	12.10	
178.00	19454.50	14.22	0.60	1.90	23.41	10.14	-0.50	0.00	0.00	0.37	2.06	0.40	-1.00	0.00	0.00	-30.62	24.10	
179.00	19549.40	7.10	1.20	6.80	34.81	11.86	-0.03	0.00	0.00	1.01	1.38	0.90	-1.00	0.00	0.00	-5.63	119.00	
180.00	19742.10	6.11	1.00	0.90	5.24	10.79	1.65	0.00	0.00	0.83	0.53	0.30	-1.00	0.00	0.00	-5.91	55.70	
