	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
22.00	36166.10	10.64	1.90	2.10	26.08	0.39	0.31	0.00	0.00	0.96	3.14	1.20	-1.00	0.00	0.00	-8.89	326.10	
23.00	38347.30	13.77	1.60	2.10	27.58	0.19	-1.49	0.00	0.00	1.47	1.41	1.10	-1.00	0.00	0.00	-7.47	1227.30	
24.00	40540.10	13.51	1.80	2.10	30.61	-0.34	-1.18	0.00	0.00	1.30	2.23	1.40	-1.00	0.00	0.00	-8.33	860.10	
25.00	40737.00	17.04	1.00	2.10	30.74	-0.44	0.81	0.00	0.00	0.32	1.98	0.20	-1.00	0.00	0.00	-42.66	1057.00	
26.00	41084.20	11.80	2.90	2.10	34.65	-1.00	0.24	0.00	0.00	2.66	2.49	2.30	-1.00	0.00	0.00	-3.55	124.20	
27.00	41775.90	10.51	4.40	2.10	32.23	0.35	0.48	0.00	0.00	4.28	1.02	0.50	-1.00	0.00	0.00	-1.96	815.90	
28.00	42236.10	15.16	1.50	2.10	35.18	-0.24	1.41	0.00	0.00	1.24	2.30	1.30	-1.00	0.00	0.00	-9.78	1276.10	
29.00	44560.80	15.17	1.40	2.10	31.17	-1.21	0.54	0.00	0.00	1.09	2.61	0.70	-1.00	0.00	0.00	-11.15	1040.80	
30.00	45110.30	11.76	3.20	2.10	37.45	-0.51	-0.36	0.00	0.00	2.91	3.07	2.40	-1.00	0.00	0.00	-3.24	310.30	
31.00	45120.50	19.08	1.00	2.10	41.98	-2.38	0.49	0.00	0.00	0.77	2.66	0.70	-1.00	0.00	0.00	-19.94	320.50	
32.00	47928.00	21.37	1.40	2.10	48.60	-0.12	-1.65	0.00	0.00	0.82	2.73	0.80	-1.00	0.00	0.00	-20.93	568.00	
33.00	48123.70	10.53	1.20	2.10	24.54	-0.68	-2.90	0.00	0.00	1.09	3.05	1.10	-1.00	0.00	0.00	-7.71	763.70	
34.00	49403.20	17.78	1.40	2.10	42.11	-0.24	1.77	0.00	0.00	1.21	2.92	1.00	-1.00	0.00	0.00	-11.75	763.20	
35.00	49668.20	10.14	1.40	2.10	20.77	-0.29	-0.59	0.00	0.00	1.22	1.62	0.40	-1.00	0.00	0.00	-6.65	1028.20	
36.00	50773.40	21.88	1.80	2.10	49.62	-0.24	-0.24	0.00	0.00	0.93	2.50	0.90	-1.00	0.00	0.00	-18.85	853.40	
37.00	52578.10	11.64	2.40	2.10	29.53	0.64	-0.90	0.00	0.00	1.89	1.64	0.50	-1.00	0.00	0.00	-4.93	98.10	
38.00	54234.50	10.50	0.90	2.10	20.34	-0.62	0.13	0.00	0.00	0.74	1.95	0.70	-1.00	0.00	0.00	-11.34	474.50	
39.00	54691.00	10.54	1.40	2.10	26.21	0.22	-0.47	0.00	0.00	1.26	3.15	1.20	-1.00	0.00	0.00	-6.71	931.00	
40.00	55407.20	12.03	0.70	2.10	22.04	0.30	1.33	0.00	0.00	0.41	2.07	0.50	-1.00	0.00	0.00	-23.48	367.20	
41.00	56997.30	10.00	1.60	2.10	22.23	-0.81	-0.74	0.00	0.00	1.40	2.27	0.50	-1.00	0.00	0.00	-5.73	677.30	
42.00	62679.30	15.37	0.60	2.10	23.20	0.44	3.98	0.00	0.00	0.50	1.79	0.40	-1.00	0.00	0.00	-24.47	1239.30	
43.00	63448.10	12.61	1.70	2.10	28.60	1.36	1.52	0.00	0.00	1.46	2.56	1.40	-1.00	0.00	0.00	-6.92	728.10	
44.00	63789.30	21.98	1.00	2.10	46.35	-0.17	-0.08	0.00	0.00	0.64	2.37	0.60	-1.00	0.00	0.00	-27.56	1069.30	
45.00	68330.80	10.39	1.30	2.10	19.04	0.72	1.66	0.00	0.00	1.07	1.91	0.60	-1.00	0.00	0.00	-7.75	490.80	
46.00	68358.70	12.88	0.60	2.10	18.37	-0.85	0.54	0.00	0.00	0.46	1.35	0.40	-1.00	0.00	0.00	-22.25	518.70	
47.00	76133.40	16.14	1.70	2.10	34.45	0.80	-1.57	0.00	0.00	1.02	1.84	0.70	-1.00	0.00	0.00	-12.71	613.40	
48.00	77043.10	11.57	1.10	2.10	26.96	0.26	-0.95	0.00	0.00	0.91	2.90	1.00	-1.00	0.00	0.00	-10.16	243.10	
49.00	78644.50	11.09	1.40	2.10	25.60	0.56	0.35	0.00	0.00	1.17	2.42	1.20	-1.00	0.00	0.00	-7.60	564.50	
50.00	80162.00	11.17	0.90	2.10	14.91	0.56	1.60	0.00	0.00	0.81	1.09	0.80	-1.00	0.00	0.00	-10.99	802.00	
51.00	80478.90	13.68	0.70	2.10	22.77	-1.25	-1.68	0.00	0.00	0.57	1.45	0.40	-1.00	0.00	0.00	-19.36	1118.90	
52.00	82584.90	20.61	1.80	2.10	51.64	-0.06	1.48	0.00	0.00	1.16	3.13	1.20	-1.00	0.00	0.00	-14.21	664.90	
53.00	83025.70	10.67	1.40	2.10	19.15	0.22	-1.70	0.00	0.00	1.00	2.46	0.80	-1.00	0.00	0.00	-8.55	1105.70	
54.00	83619.20	11.70	1.50	2.10	23.73	-0.73	-0.75	0.00	0.00	1.08	1.67	1.20	-1.00	0.00	0.00	-8.68	419.20	
55.00	83691.90	10.35	2.50	2.10	32.05	-0.33	-1.32	0.00	0.00	2.23	2.70	2.40	-1.00	0.00	0.00	-3.72	491.90	
56.00	84163.90	18.16	1.00	2.10	37.88	-0.23	0.07	0.00	0.00	0.83	2.50	0.50	-1.00	0.00	0.00	-17.42	963.90	
57.00	84333.90	13.16	2.30	2.10	39.21	-0.32	-4.03	0.00	0.00	2.14	2.42	2.20	-1.00	0.00	0.00	-4.91	1133.90	
58.00	85656.20	16.87	2.20	2.10	44.51	-1.16	-0.92	0.00	0.00	1.60	2.86	1.40	-1.00	0.00	0.00	-8.46	1176.20	
59.00	85782.70	11.41	1.00	2.10	23.27	0.38	1.30	0.00	0.00	0.80	2.64	0.70	-1.00	0.00	0.00	-11.45	22.70	
60.00	85881.40	13.64	1.30	2.10	29.21	-0.75	0.88	0.00	0.00	1.04	1.96	0.80	-1.00	0.00	0.00	-10.50	121.40	
61.00	89340.40	14.31	1.40	2.10	32.56	0.37	-0.21	0.00	0.00	1.19	3.00	1.10	-1.00	0.00	0.00	-9.59	1020.40	
62.00	90240.40	19.96	2.50	2.10	52.49	0.68	2.39	0.00	0.00	0.74	2.91	1.20	-1.00	0.00	0.00	-21.63	640.40	
63.00	90924.10	11.26	1.30	2.10	22.98	1.31	-0.11	0.00	0.00	1.11	1.64	1.00	-1.00	0.00	0.00	-8.11	44.10	
64.00	93572.10	13.75	0.80	2.10	23.65	0.50	2.61	0.00	0.00	0.43	1.45	0.30	-1.00	0.00	0.00	-25.63	132.10	
65.00	93676.90	10.77	2.10	2.10	25.62	-0.84	-0.45	0.00	0.00	2.01	2.37	1.70	-1.00	0.00	0.00	-4.29	236.90	
66.00	99778.70	23.91	1.80	2.10	57.92	-0.75	1.22	0.00	0.00	1.29	2.97	1.00	-1.00	0.00	0.00	-14.88	1218.70	
67.00	100427.20	15.44	1.10	2.10	35.23	0.02	0.58	0.00	0.00	0.65	2.70	0.70	-1.00	0.00	0.00	-18.94	587.20	
68.00	104136.20	13.77	1.20	2.10	27.23	-1.54	0.72	0.00	0.00	0.98	2.06	0.60	-1.00	0.00	0.00	-11.27	456.20	
69.00	105869.40	21.03	1.30	2.10	52.44	-1.15	-2.20	0.00	0.00	0.94	2.76	0.80	-1.00	0.00	0.00	-17.90	909.40	
70.00	110130.80	16.74	1.50	2.10	38.49	0.69	1.04	0.00	0.00	0.93	2.71	0.80	-1.00	0.00	0.00	-14.45	50.80	
71.00	110602.50	10.53	1.40	2.10	21.35	0.27	1.61	0.00	0.00	1.22	1.89	0.90	-1.00	0.00	0.00	-6.90	522.50	
72.00	111210.60	17.38	2.20	2.10	53.51	-0.51	-1.01	0.00	0.00	1.90	3.70	1.70	-1.00	0.00	0.00	-7.32	1130.60	
73.00	112048.70	11.43	1.70	2.10	22.20	-1.36	2.39	0.00	0.00	1.59	1.37	1.20	-1.00	0.00	0.00	-5.76	688.70	
74.00	112349.60	18.26	1.90	2.10	50.16	0.02	-0.23	0.00	0.00	1.55	3.22	1.50	-1.00	0.00	0.00	-9.43	989.60	
75.00	113276.30	14.34	1.20	2.10	35.05	-0.30	-0.80	0.00	0.00	0.78	2.82	0.90	-1.00	0.00	0.00	-14.68	636.30	
76.00	113564.20	20.03	1.40	2.10	51.55	-0.70	1.34	0.00	0.00	1.07	2.93	1.00	-1.00	0.00	0.00	-15.03	924.20	
77.00	113854.00	11.41	1.20	2.10	21.87	-0.75	0.31	0.00	0.00	0.73	2.42	0.50	-1.00	0.00	0.00	-12.50	1214.00	
78.00	115266.90	21.68	1.40	2.10	54.68	-1.07	-1.60	0.00	0.00	0.91	2.64	1.00	-1.00	0.00	0.00	-19.03	66.90	
79.00	115747.20	10.94	1.10	2.10	23.13	-0.36	-0.45	0.00	0.00	0.91	2.90	1.00	-1.00	0.00	0.00	-9.66	547.20	
80.00	116033.70	10.05	1.70	2.10	19.74	-0.59	-0.13	0.00	0.00	1.11	2.03	0.90	-1.00	0.00	0.00	-7.22	833.70	
81.00	116913.30	19.24	1.80	2.10	40.87	-0.61	-2.50	0.00	0.00	1.13	2.67	0.80	-1.00	0.00	0.00	-13.58	433.30	
82.00	118931.50	22.61	2.20	2.10	59.82	-0.79	2.16	0.00	0.00	0.92	3.05	1.10	-1.00	0.00	0.00	-19.57	1171.50	
83.00	119518.70	18.15	1.50	2.10	40.49	0.08	0.51	0.00	0.00	1.27	2.67	1.10	-1.00	0.00	0.00	-11.41	478.70	
84.00	122569.30	13.08	1.30	2.10	29.77	-0.30	1.24	0.00	0.00	1.18	2.95	1.00	-1.00	0.00	0.00	-8.88	969.30	
85.00	123382.10	15.03	1.70	2.10	41.80	0.62	-0.75	0.00	0.00	1.23	3.37	1.40	-1.00	0.00	0.00	-9.80	502.10	
86.00	124540.30	23.76	1.60	2.10	56.39	-0.39	-1.54	0.00	0.00	1.18	2.72	0.80	-1.00	0.00	0.00	-16.11	380.30	
87.00	125948.90	17.79	1.50	2.10	42.74	-0.70	-1.06	0.00	0.00	1.34	2.91	1.30	-1.00	0.00	0.00	-10.58	508.90	
88.00	130310.00	10.88	2.00	2.10	27.77	-0.81	0.66	0.00	0.00	1.58	2.91	1.40	-1.00	0.00	0.00	-5.50	1030.00	
89.00	133845.40	14.94	1.20	2.10	32.89	-0.28	1.29	0.00	0.00	1.02	1.77	0.80	-1.00	0.00	0.00	-11.75	725.40	
90.00	133912.00	17.47	2.00	2.10	40.15	-0.50	-2.05	0.00	0.00	0.73	2.38	0.90	-1.00	0.00	0.00	-19.22	792.00	
91.00	134092.40	15.10	4.20	2.10	55.52	-1.40	1.94	0.00	0.00	3.10	3.84	1.90	-1.00	0.00	0.00	-3.89	972.40	
92.00	137185.80	13.21	2.80	2.10	40.59	-0.47	-0.86	0.00	0.00	2.64	3.01	2.00	-1.00	0.00	0.00	-4.00	225.80	
93.00	137459.90	14.81	1.40	2.10	31.62	-0.22	0.51	0.00	0.00	1.17	2.14	1.00	-1.00	0.00	0.00	-10.15	499.90	
94.00	138518.60	12.45	0.80	2.10	18.24	0.12	-0.35	0.00	0.00	0.72	0.97	0.60	-1.00	0.00	0.00	-13.81	278.60	
95.00	138902.30	13.42	2.10	2.10	40.30	0.46	0.16	0.00	0.00	1.89	2.96	1.90	-1.00	0.00	0.00	-5.67	662.30	
96.00	143004.60	12.50	3.50	2.10	47.23	-0.48	-0.42	0.00	0.00	3.39	4.41	3.30	-1.00	0.00	0.00	-2.95	924.60	
97.00	143863.20	14.26	2.10	2.10	34.82	-0.62	0.04	0.00	0.00	1.27	2.42	1.20	-1.00	0.00	0.00	-8.96	503.20	
98.00	144486.20	19.84	0.90	2.10	35.65	-0.41	0.57	0.00	0.00	0.47	1.97	0.40	-1.00	0.00	0.00	-33.48	1126.20	
99.00	145280.90	11.81	0.80	2.10	17.96	-0.41	1.04	0.00	0.00	0.48	1.27	0.60	-1.00	0.00	0.00	-19.58	640.90	
100.00	147120.00	18.88	1.30	2.10	40.51	-0.47	-0.16	0.00	0.00	0.80	2.38	0.60	-1.00	0.00	0.00	-18.89	1200.00	
101.00	147151.40	24.32	1.30	2.10	54.76	-0.77	1.04	0.00	0.00	0.87	2.58	0.60	-1.00	0.00	0.00	-22.26	1231.40	
102.00	147779.50	15.68	2.10	2.10	39.80	-2.64	-0.67	0.00	0.00	1.13	2.56	1.20	-1.00	0.00	0.00	-11.08	579.50	
103.00	147852.00	22.75	1.20	2.10	49.64	-1.95	0.35	0.00	0.00	0.96	2.78	0.80	-1.00	0.00	0.00	-19.04	652.00	
104.00	149252.90	12.58	2.30	2.10	29.91	-0.20	-0.94	0.00	0.00	1.48	3.06	1.40	-1.00	0.00	0.00	-6.78	772.90	
105.00	149262.60	11.58	1.10	2.10	24.08	-4.02	1.73	0.00	0.00	0.96	2.49	0.80	-1.00	0.00	0.00	-9.60	782.60	
106.00	149573.80	16.84	3.60	2.10	56.38	-0.75	-0.35	0.00	0.00	3.21	2.88	1.10	-1.00	0.00	0.00	-4.20	1093.80	
107.00	155414.10	12.72	1.30	2.10	30.11	-0.67	-2.30	0.00	0.00	1.09	2.38	0.90	-1.00	0.00	0.00	-9.31	534.10	
108.00	163418.00	10.70	1.30	2.10	23.16	-0.72	1.97	0.00	0.00	0.83	2.46	0.90	-1.00	0.00	0.00	-10.26	858.00	
109.00	164520.80	18.13	1.00	2.10	39.01	-0.20	-1.05	0.00	0.00	0.75	2.62	0.70	-1.00	0.00	0.00	-19.46	680.80	
110.00	165173.40	17.28	2.40	2.10	51.96	-0.85	1.92	0.00	0.00	2.25	3.30	2.00	-1.00	0.00	0.00	-6.16	53.40	
111.00	165649.50	11.48	1.30	2.10	24.52	-1.39	2.00	0.00	0.00	1.00	2.45	0.70	-1.00	0.00	0.00	-9.19	529.50	
112.00	170259.20	10.24	0.60	2.10	17.34	-0.36	-1.36	0.00	0.00	0.50	1.90	0.20	-1.00	0.00	0.00	-16.54	19.20	
113.00	172830.00	19.28	1.30	2.10	44.88	-1.68	0.85	0.00	0.00	0.83	2.75	0.80	-1.00	0.00	0.00	-18.57	30.00	
114.00	173662.60	13.18	1.80	2.10	32.90	-2.82	-0.86	0.00	0.00	1.60	3.38	1.40	-1.00	0.00	0.00	-6.61	862.60	
115.00	174754.60	12.04	1.80	2.10	28.73	-0.80	0.10	0.00	0.00	1.74	2.51	1.70	-1.00	0.00	0.00	-5.54	674.60	
116.00	175720.60	14.32	1.40	2.10	33.44	-0.06	0.02	0.00	0.00	0.72	2.49	1.00	-1.00	0.00	0.00	-16.00	360.60	
117.00	177274.80	13.02	2.00	2.10	28.92	0.11	-0.13	0.00	0.00	1.37	1.60	0.90	-1.00	0.00	0.00	-7.61	634.80	
118.00	184543.50	16.71	2.30	2.10	46.43	-2.11	0.84	0.00	0.00	1.85	3.41	1.50	-1.00	0.00	0.00	-7.22	223.50	
119.00	185384.70	17.45	1.40	2.10	38.93	-0.02	1.45	0.00	0.00	1.17	2.81	0.90	-1.00	0.00	0.00	-11.89	1064.70	
120.00	186575.20	15.97	2.80	2.10	38.85	0.53	-1.93	0.00	0.00	1.07	2.53	1.00	-1.00	0.00	0.00	-11.90	975.20	
121.00	190443.40	16.50	1.90	2.10	37.75	-1.71	1.77	0.00	0.00	1.65	2.21	0.70	-1.00	0.00	0.00	-8.03	1003.40	
122.00	190953.90	18.60	2.70	2.10	41.18	-0.36	0.30	0.00	0.00	1.03	2.20	0.80	-1.00	0.00	0.00	-14.42	233.90	
123.00	191815.10	12.04	1.40	2.10	27.06	-0.05	-0.08	0.00	0.00	0.86	2.84	0.90	-1.00	0.00	0.00	-11.23	1095.10	
124.00	192085.50	18.45	2.20	2.10	55.36	-1.02	0.13	0.00	0.00	1.04	3.47	1.80	-1.00	0.00	0.00	-14.20	85.50	
125.00	192225.50	13.82	1.30	2.10	27.06	-0.15	-2.84	0.00	0.00	1.05	1.33	0.70	-1.00	0.00	0.00	-10.57	225.50	
126.00	192499.50	17.64	0.80	2.10	34.22	-1.03	-1.39	0.00	0.00	0.47	1.82	0.50	-1.00	0.00	0.00	-30.28	499.50	
127.00	192894.90	23.03	1.20	2.10	49.29	-1.14	-0.56	0.00	0.00	0.96	2.73	0.80	-1.00	0.00	0.00	-19.21	894.90	
128.00	193828.40	16.01	1.40	2.10	40.81	-0.87	-1.88	0.00	0.00	1.10	2.91	1.00	-1.00	0.00	0.00	-11.66	548.40	
129.00	195025.90	14.62	1.90	2.10	38.69	0.16	-1.35	0.00	0.00	1.63	3.31	1.40	-1.00	0.00	0.00	-7.15	465.90	
130.00	195532.90	16.23	1.30	2.10	32.80	-1.36	0.60	0.00	0.00	1.02	2.01	0.60	-1.00	0.00	0.00	-12.76	972.90	
131.00	196628.90	23.60	1.80	2.10	62.09	-0.79	-2.30	0.00	0.00	1.19	2.92	1.00	-1.00	0.00	0.00	-15.81	788.90	
132.00	198192.30	16.61	1.00	2.10	35.72	-1.22	-0.71	0.00	0.00	0.79	2.62	0.70	-1.00	0.00	0.00	-16.81	1072.30	
133.00	200340.30	16.81	0.80	2.10	30.83	-0.55	-0.91	0.00	0.00	0.52	2.35	0.40	-1.00	0.00	0.00	-25.94	660.30	
134.00	200470.30	10.96	1.60	2.10	22.50	-0.39	3.62	0.00	0.00	1.05	1.95	1.10	-1.00	0.00	0.00	-8.38	790.30	
135.00	201125.20	21.70	2.10	2.10	54.17	0.04	0.05	0.00	0.00	1.42	2.70	1.20	-1.00	0.00	0.00	-12.23	165.20	
136.00	201660.60	14.99	1.80	2.10	38.14	-1.01	-3.49	0.00	0.00	1.38	3.12	1.20	-1.00	0.00	0.00	-8.66	700.60	
137.00	203272.70	12.57	1.30	2.10	28.78	0.70	0.12	0.00	0.00	1.10	2.25	1.00	-1.00	0.00	0.00	-9.12	1032.70	
138.00	206639.10	17.48	2.50	2.10	53.48	-1.14	0.33	0.00	0.00	2.12	3.33	1.70	-1.00	0.00	0.00	-6.60	559.10	
139.00	207116.60	16.12	1.50	2.10	32.47	-0.72	0.14	0.00	0.00	0.64	2.51	0.60	-1.00	0.00	0.00	-20.08	1036.60	
140.00	207517.60	13.72	1.20	2.10	29.73	-1.26	0.44	0.00	0.00	1.00	2.68	0.70	-1.00	0.00	0.00	-10.92	157.60	
141.00	209099.20	12.68	2.20	2.10	37.83	-1.59	0.04	0.00	0.00	1.92	3.69	1.70	-1.00	0.00	0.00	-5.28	459.20	
142.00	212122.10	17.32	2.90	2.10	46.59	0.29	2.07	0.00	0.00	2.09	2.85	0.90	-1.00	0.00	0.00	-6.63	922.10	
143.00	212446.00	23.84	1.00	2.10	48.90	-1.60	0.30	0.00	0.00	0.78	2.69	0.70	-1.00	0.00	0.00	-24.45	1246.00	
144.00	212603.30	15.58	2.00	2.10	38.69	-0.49	-1.07	0.00	0.00	1.13	2.88	0.90	-1.00	0.00	0.00	-11.03	123.30	
145.00	213022.10	17.65	1.50	2.10	47.26	0.24	-0.53	0.00	0.00	1.29	3.12	1.20	-1.00	0.00	0.00	-10.92	183.70	
146.00	213309.10	13.97	1.50	2.10	32.88	0.25	-0.84	0.00	0.00	1.36	2.58	1.30	-1.00	0.00	0.00	-8.19	829.10	
147.00	213474.20	11.66	1.30	2.10	25.57	-0.65	-1.55	0.00	0.00	1.14	2.16	1.10	-1.00	0.00	0.00	-8.16	994.20	
148.00	214437.70	24.20	1.30	2.10	56.24	0.01	0.91	0.00	0.00	0.80	2.96	1.00	-1.00	0.00	0.00	-24.26	677.70	
149.00	215915.60	17.32	1.90	2.10	47.11	-1.50	0.38	0.00	0.00	1.56	3.46	1.50	-1.00	0.00	0.00	-8.85	875.60	
150.00	217691.80	14.92	1.60	2.10	33.49	-0.41	1.55	0.00	0.00	1.32	2.66	1.10	-1.00	0.00	0.00	-9.02	91.80	
151.00	218856.30	13.92	2.30	2.10	44.18	-2.03	1.74	0.00	0.00	2.13	4.00	2.10	-1.00	0.00	0.00	-5.24	1256.30	
152.00	220309.10	15.62	0.90	2.10	34.85	-0.89	0.17	0.00	0.00	0.76	2.40	0.40	-1.00	0.00	0.00	-16.44	149.10	
153.00	220318.40	15.40	10.20	2.10	103.14	-0.55	-1.12	255.00	0.00	1.11	2.78	0.80	-1.00	0.00	0.00	-11.10	184.00	
154.00	221316.30	14.79	1.10	2.10	31.44	-1.05	-0.94	0.00	0.00	0.65	2.45	0.50	-1.00	0.00	0.00	-18.32	1156.30	
155.00	221327.60	18.43	1.60	2.10	48.10	-3.15	2.83	255.00	0.00	1.40	3.18	1.20	-1.00	0.00	0.00	-10.51	41.20	
156.00	221445.80	11.89	1.10	2.10	21.05	-3.39	1.14	0.00	0.00	0.55	1.63	0.50	-1.00	0.00	0.00	-17.23	5.80	
157.00	221533.60	10.44	0.60	2.10	20.02	-1.31	-1.16	0.00	0.00	0.50	2.34	0.40	-1.00	0.00	0.00	-16.69	93.60	
158.00	222254.50	12.28	1.30	1.60	10.10	-1.22	0.25	0.00	0.00	1.15	0.24	0.20	-1.00	0.00	0.00	-8.51	814.50	
159.00	224907.70	14.72	2.20	2.10	40.35	-1.25	0.02	0.00	0.00	1.97	3.29	1.60	-1.00	0.00	0.00	-5.98	907.70	
160.00	226045.70	17.29	2.00	2.10	44.66	-1.25	1.38	0.00	0.00	1.79	3.40	1.50	-1.00	0.00	0.00	-7.71	765.70	
161.00	226888.90	14.49	2.40	2.10	31.25	-0.48	2.13	0.00	0.00	1.13	2.12	0.80	-1.00	0.00	0.00	-10.25	328.90	
162.00	227447.40	25.60	1.20	2.10	62.12	-0.68	0.83	0.00	0.00	0.95	2.70	0.70	-1.00	0.00	0.00	-21.46	887.40	
163.00	228670.30	15.03	3.00	2.10	50.88	-0.95	-1.35	0.00	0.00	2.78	4.11	2.30	-1.00	0.00	0.00	-4.32	830.30	
164.00	230266.80	20.20	1.60	2.10	53.40	-2.20	2.69	0.00	0.00	1.11	3.05	1.10	-1.00	0.00	0.00	-14.61	1146.80	
165.00	234951.30	22.72	1.50	2.10	57.42	-0.87	-1.25	0.00	0.00	1.20	3.02	1.10	-1.00	0.00	0.00	-15.10	711.30	
166.00	235419.40	21.35	1.10	2.10	48.94	-1.27	-0.39	0.00	0.00	0.81	2.58	0.60	-1.00	0.00	0.00	-20.97	1179.40	
167.00	236050.80	21.92	1.20	2.10	52.12	-1.37	1.24	0.00	0.00	0.95	2.84	0.90	-1.00	0.00	0.00	-18.54	530.80	
168.00	236355.30	14.14	2.30	2.10	41.75	-1.24	-0.75	0.00	0.00	1.72	3.64	1.70	-1.00	0.00	0.00	-6.57	835.30	
169.00	237244.90	15.12	1.80	2.10	38.97	-1.54	1.69	0.00	0.00	1.58	3.23	1.40	-1.00	0.00	0.00	-7.68	444.90	
170.00	237263.20	10.95	2.80	2.10	35.02	-3.76	-1.94	0.00	0.00	2.62	3.34	2.50	-1.00	0.00	0.00	-3.34	463.20	
171.00	238214.60	10.71	1.80	2.10	27.98	-0.58	0.86	0.00	0.00	1.46	3.22	1.40	-1.00	0.00	0.00	-5.89	134.60	
172.00	238875.00	13.49	1.90	2.10	36.48	-1.85	0.96	0.00	0.00	1.53	3.33	1.40	-1.00	0.00	0.00	-7.06	795.00	
173.00	239098.90	15.97	1.50	2.10	38.57	-1.87	-0.15	0.00	0.00	1.10	2.99	1.00	-1.00	0.00	0.00	-11.65	1018.90	
174.00	239726.00	10.36	2.70	2.10	25.24	-1.80	0.58	0.00	0.00	2.37	0.94	0.70	-1.00	0.00	0.00	-3.50	366.00	
175.00	240006.60	17.68	1.30	2.10	37.73	-1.11	-2.01	0.00	0.00	0.89	2.55	0.60	-1.00	0.00	0.00	-15.97	646.60	
176.00	240162.00	12.73	1.40	2.10	30.33	-2.25	0.75	0.00	0.00	1.20	3.10	1.20	-1.00	0.00	0.00	-8.48	802.00	
177.00	240564.90	17.16	1.50	2.10	41.33	-1.64	-1.41	0.00	0.00	1.20	3.01	1.10	-1.00	0.00	0.00	-11.44	1204.90	
178.00	241128.60	12.14	2.70	2.10	33.13	-1.24	2.08	0.00	0.00	2.55	2.80	2.20	-1.00	0.00	0.00	-3.81	488.60	
